,Bus,C690/3,C689/2,T436,T434,T419,T429,T317,M247,M9,T316,T417,T418,T433,T435,T348,C688/2,C690/3
0,MS4830-0,,,,,,,,,,191241,191346,191451,191531,191700,191853,192232,192328
1,MS4750-0,,,,,,,,,191241,192256,192610,192707,192755,192933,193118,193440,193601
2,MW4768-0,,,,,191241,191314,191555,192522,192844,194012,194359,194503,194552,194753,194955,195422,195551
3,MT5945-0,191241,195051,195438,195647,195808,200033,200251,201201,201539,202803,203205,203310,203351,203536,203713,204035,204148
4,MW3417-0,191547,191652,192055,192240,192401,192530,192900,193738,193940,195148,195615,195720,195800,195937,200146,200525,200710
5,MS4830-1,192401,200621,200951,201225,201346,201917,202127,203125,203415,204631,205010,205106,205147,205340,205558,205912,210032
6,MW3430-0,193231,193416,193827,194012,194214,194351,194600,195510,195736,201016,201330,201442,201531,201724,201901,202248,202457
7,MS4750-1,201732,201821,202223,202400,202505,202650,202940,203801,204003,205131,205437,205509,205558,205726,205920,,
8,MW3430-1,203351,203657,204148,204341,204527,204937,205219,210145,,,,,,,,,
9,MT5945-1,204237,205533,210016,210209,,,,,,,,,,,,,
10,MS4830-2,210057,,,,,,,,,,,,,,,,
